RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,weight,gender,age,region,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
1978,08/04/2020 09:23,week 2,2,100,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Somewhat unwilling,Always,Always,Sometimes,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Always,Always,Always,5, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.01516286,Male,27,Paris Area,2,0,Full time student, , , , , 
1979,08/04/2020 09:27,week 2,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Frequently,Always,Frequently,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,1.203265772,Male,44,Paris Area,4,2,Full time employment, , , , , 
1980,08/04/2020 09:30,week 2,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always, ,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Always,Sometimes,10, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.226961163,Female,38,Paris Area,4,2,Not working, , , , , 
1981,08/04/2020 09:33,week 2,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Frequently,Always,Always,Frequently,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Rarely,Rarely,Frequently,Always,7, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.187198355,Female,45,Paris Area,2,0,Unemployed, , , , , 
1982,08/04/2020 09:34,week 2,2,20,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Neither easy nor difficult,Very willing,Sometimes,Always,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Not at all,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Not at all,Not at all,Sometimes,Sometimes,15,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Médico social, , , , , , , , , , , , , , , ,1.093338395,Male,39,South-West,3,3,Full time employment, , , , , 
1983,08/04/2020 09:36,week 2,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Always,Sometimes,Always,Not at all,Always,Always,6,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__, , , , , , , , , , , , , , , ,1.187198355,Female,54,Paris Area,3,1,Full time employment, , , , , 
1984,08/04/2020 11:42,week 2,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Sometimes,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,0.878092123,Female,34,North-West,4,2,Full time employment, , , , , 
1985,08/04/2020 11:27,week 2,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Not sure,Not sure,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,__NA__, , , , , , , , , , , , , , , ,0.863238194,Male,25,South-East,4,0,Full time employment, , , , , 
1986,08/04/2020 09:43,week 2,1,0,0,"No, I have not","No, they have not",No,No,No,No,Yes,No,Yes,Always,No,No,No,Very easy,Somewhat willing,Sometimes,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently, ,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Rarely,4,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__, , , , , , , , , , , , , , , ,1.01516286,Male,34,Paris Area,1,0,Full time employment, , , , , 
1987,08/04/2020 09:44,week 2,1,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very willing,Not at all,Always,Not at all,Not at all,Always,Always,Always,Always, , ,Always,Always,Always,Always,Frequently,Frequently,Not at all,Always,Sometimes,Frequently,6, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.353047813,Male,22,South-East,2,0,Full time student, , , , , 
1988,08/04/2020 09:51,week 2,0,5,1,"No, I have not","No, they have not",Yes,Yes,No,No,Yes,No,Not sure,Frequently,Yes,No,Yes,Somewhat difficult,Very willing,Not at all,Always,Frequently,Frequently,Always,Frequently,Always,Always, , ,Always,Sometimes,Frequently,Frequently,Frequently,Frequently,Not at all,Not at all,Sometimes,Sometimes,20, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.278725771,Female,39,South-West,1,0,Unemployed, , , , , 
1989,08/04/2020 10:01,week 2,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,10, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.308703208,Female,24,South-West,4,0,Full time student, , , , , 
1990,08/04/2020 10:13,week 2,4,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Very easy,Very willing,Not at all,Always,Always,Always,Rarely,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Frequently,Always,20, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.226961163,Female,37,Paris Area,5,2,Not working, , , , , 
1991,08/04/2020 10:19,week 2,3,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Sometimes,Always,Rarely,Always,Rarely,Frequently,Always,Always,Always,Always,Always,Sometimes,Frequently,Always,Always,Sometimes,Rarely,Not at all,Frequently,Sometimes,7,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,1.226961163,Female,41,Paris Area,4,1,Full time employment, , , , , 
1992,08/04/2020 10:19,week 2,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Frequently,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Not at all,Frequently,Always,3, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,0.993719133,Male,26,North-East,3,0,Unemployed, , , , , 
1993,08/04/2020 10:25,week 2,5,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Sometimes,Always,Frequently,Frequently,Not at all,Always,Sometimes,Always, ,Always,Always,Always,Always,Always,Always,Always,Sometimes,Not at all,Always,Always,6, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.440283981,Female,19,Paris Area,6,1,Full time student, , , , , 
1994,08/04/2020 10:28,week 2,1,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Always,Always,Always,Always,Always,Always, , ,Always,Frequently,Always,Always,Always,Always,Not at all,Always,Frequently,Always,4, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.308703208,Female,22,South-West,2,0,Full time student, , , , , 
1995,08/04/2020 10:36,week 2,6,6,20,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Neither willing nor unwilling,Sometimes,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,100,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,__NA__, , , , , , , , , , , , , , , ,1.380114528,Male,36,Paris Area,4,3,Full time employment, , , , , 
1996,08/04/2020 10:51,week 2,3,10,1,"No, I have not","No, they have not",Yes,No,No,No,No,No,Not sure,Not at all,No,No,Not sure,Very easy,Very willing,Not at all,Always,Frequently,Frequently,Frequently,Frequently,Always,Always,Rarely,Always,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Always,Frequently,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Banque, , , , , , , , , , , , , , , ,1.226961163,Female,36,Paris Area,3,1,Full time employment, , , , , 
1997,08/04/2020 10:58,week 2,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Frequently,Always,Always,Sometimes,Always,Always,Always,Always, ,Not at all,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Frequently,Always,15, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.440283981,Female,22,Paris Area,2,1,Full time student, , , , , 
1998,08/04/2020 11:24,week 2,0,1,0,"No, I have not","No, they have not",Yes,No,No,No,Yes,No,Not sure,Always,Yes,Not sure,Yes,Somewhat easy,Very willing,Not at all,Always,Sometimes,Frequently,Always,Frequently,Frequently,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Frequently,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,1.440283981,Female,24,Paris Area,1,0,Full time employment, , , , , 
1999,08/04/2020 11:26,week 2,1,0,1,"No, I have not","No, they have not", , , , , , , , , , ,Yes,Very easy,Very willing,Frequently,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Always,Frequently,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,1.03507,Female,54,Paris Area,2,0,Full time employment, , , , , 
2000,08/04/2020 12:24,week 2,1,30,1,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Rarely,No,No,Yes,Neither easy nor difficult,Somewhat willing,Not at all,Always,Not at all,Frequently,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Always,Frequently,Always,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,1.187198355,Female,49,Paris Area,2,2,Full time employment, , , , , 
2001,08/04/2020 14:14,week 2,5,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Rarely,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Rarely,Rarely,Frequently,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,1.187198355,Female,47,Paris Area,5,4,Part time employment, , , , , 
2002,15/04/2020 17:26,week 3,0,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Frequently,Frequently,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Frequently,Always,3,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,0.934904772,Male,32,North-East,1,0,Full time employment, , , , , 
2003,15/04/2020 17:33,week 3,4,4,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Always,Rarely,Always, ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,Always,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,0.904883934,Male,66,North-West,5,1,Retired, , , , , 
2004,15/04/2020 17:33,week 3,1,6,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Always,Frequently,Frequently,Frequently,Always,Always,Always,Always,Frequently, ,Always,Frequently,Always,Always,Always,Frequently,Not at all,Not at all,Not at all,Sometimes,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.802794079,Male,55,South-East,2,0,Full time employment, , , , , 
2005,15/04/2020 17:34,week 3,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Sometimes,Always,Always,Always,Not at all,Always,Always,Not at all,Always, ,Always,Always,Always,Always,Frequently,Frequently,Not at all,Not at all,Frequently,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.989757834,Female,49,South-East,3,0,Full time employment, , , , , 
2006,15/04/2020 17:34,week 3,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,0.975400696,Female,48,South-West,2,2,Full time employment, , , , , 
2007,15/04/2020 17:39,week 3,3,0,0,"Yes, and I tested negative","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very difficult,Somewhat unwilling,Rarely,Always,Frequently,Always,Always,Always,Frequently,Always, ,Always,Always,Always,Always,Always,Always,Sometimes,Rarely,Not at all,Frequently,Sometimes,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,1.46663726,Female,22,Paris Area,4,1,Unemployed, , , , , 
2008,15/04/2020 17:39,week 3,4,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Not at all,Always,Not at all,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.090702308,Female,32,North-East,5,2,Not working, , , , , 
2009,15/04/2020 17:40,week 3,5,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Rarely,Sometimes,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.053242108,Female,34,South-East,6,5 or more,Full time employment, , , , , 
2010,15/04/2020 17:40,week 3,0,0,0,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Always,No,No,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,50, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,0.862849225,Male,63,South-East,1,0,Retired, , , , , 
2011,15/04/2020 17:41,week 3,2,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Rarely,Always,Not at all,Always,Not at all,Always,Frequently, ,Always,Frequently,Always,Always,Always,Frequently,Not at all,Not at all,Rarely,Frequently,6,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.902795443,Male,32,South-East,3,0,Full time employment, , , , , 
2012,15/04/2020 17:41,week 3,6,10,3,"No, I have not","No, they have not",No,No,Yes,No,Yes,No,Not sure,Frequently,No,Not sure,Not sure,Neither easy nor difficult,Very willing,Rarely,Always,Always,Always,Sometimes,Sometimes,Always,Frequently, ,Always,Frequently,Rarely,Frequently,Always,Sometimes,Rarely,Not at all,Rarely,Sometimes,Frequently,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.145264622,Female,42,North-East,7,5 or more,Not working, , , , , 
2013,15/04/2020 17:44,week 3,0,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Not at all,Always,Always,Always,Frequently,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,5, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,0.989322432,Female,74,North-East,1,1,Retired, , , , , 
2014,15/04/2020 17:44,week 3,2,300,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Sometimes,Sometimes,Always,Sometimes,Always,Always,Not at all, ,Always,Always,Always,Always,Always,Not at all,Not at all,Not at all,Sometimes,Rarely,6,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.937479948,Male,54,North-West,3,0,Full time employment, , , , , 
2015,15/04/2020 17:44,week 3,0,6,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Frequently,Always,Frequently,Always,Always,Frequently,Always,Always,Always, ,Always,Frequently,Always,Always,Always,Always,Not at all,Not at all,Frequently,Frequently,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.084203999,Female,35,South-East,1,0,Full time employment, , , , , 
2016,15/04/2020 17:44,week 3,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Frequently,Always,Frequently,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Frequently,Always,12, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.955344127,Female,66,South-East,2,0,Retired, , , , , 
2017,15/04/2020 17:45,week 3,0,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Not at all,Always,Always,Sometimes,Always,Always,Always, ,Always,Always,Always,Always,Frequently,Sometimes,Always,Always,Sometimes,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.01062956,Female,56,Paris Area,1,0,Full time employment, , , , , 
2018,15/04/2020 17:45,week 3,1,1,1,"No, I have not","No, they have not",No,Yes,No,No,No,No,No,Always,No,No,Yes,Somewhat easy,Somewhat willing,Not at all,Frequently,Sometimes,Not at all,Always,Always,Always,Always, , ,Always,Always,Always,Always,Frequently,Frequently,Sometimes,Not at all,Frequently,Frequently,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,0.96502862,Male,42,South-West,2,0,Other, , , , , 
2019,15/04/2020 17:46,week 3,2,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Frequently,Always,Frequently,Always,Always,Frequently,Always,Frequently,Always,Always,Always,Frequently,Always,Always,Always,Frequently,Frequently,Always,Frequently,Frequently,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.83362783,Male,61,South-West,3,1,Part time employment, , , , , 
2020,15/04/2020 17:47,week 3,5,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,30, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,1.105658342,Male,23,South-East,6,0,Full time student, , , , , 
2021,15/04/2020 17:47,week 3,410, ,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Rarely,Always,Always,Frequently,Always,Always,Rarely,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Sometimes,Frequently,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Pompiers, , , , , , , , , , , , , , , ,1.016405333,Male,48,Paris Area,4,4,Full time employment, , , , , 
2022,15/04/2020 17:48,week 3,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Sometimes,Always,Always,Not at all,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Not at all,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,0.955344127,Female,64,South-East,2,0,Retired, , , , , 
2023,15/04/2020 17:48,week 3,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Not at all,Frequently,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Frequently,Frequently,20,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.037975044,Female,52,North-West,4,4,Full time employment, , , , , 
2024,15/04/2020 17:48,week 3,1,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Frequently,Not at all,Always,Frequently,Always,Always, , ,Always,Sometimes,Always,Always,Always,Sometimes,Not at all,Always,Sometimes,Sometimes,10, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,0.904883934,Male,61,North-West,2,0,Unemployed, , , , , 
2025,15/04/2020 17:48,week 3,0,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Rarely,Rarely,Always,Frequently,Frequently,Always, , ,Always,Always,Always,Always,Always,Always,Always, ,Sometimes,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.001884833,Female,75,North-West,1,0,Retired, , , , , 
2026,15/04/2020 17:48,week 3,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,12,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.048267803,Female,27,North-West,1,0,Full time employment, , , , , 
2027,15/04/2020 17:49,week 3,1,2,4,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very willing,Rarely,Rarely,Rarely, ,Rarely,Sometimes,Rarely,Rarely, , ,Rarely,Rarely,Rarely,Rarely,Always,Rarely, ,Always,Sometimes, ,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.351184365,Male,24,Paris Area,1,0,Part time employment, , , , , 
2028,15/04/2020 17:49,week 3,0,8,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Frequently,Always,Frequently,Always,Frequently,Sometimes,Always,Sometimes,Sometimes, ,Always,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Sometimes,Frequently,Frequently,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.920464628,Female,59,North-East,1,0,Full time employment, , , , , 
2029,15/04/2020 17:50,week 3,2,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Always,Always,Frequently,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Frequently,25,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,1.064892891,Female,58,Paris Area,3,1,Full time employment, , , , , 
2030,15/04/2020 17:50,week 3,0,0,0,"No, I have not", ,No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Frequently,Always,Always,Always,Frequently,Always,Always, ,Frequently,Frequently,Always,Always,Always,Always,Frequently,Rarely,Not at all,Frequently,Always,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.989322432,Female,70,North-East,2,2,Retired, , , , , 
2031,15/04/2020 17:51,week 3,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.136520292,Female,30,Paris Area,3,1,Other, , , , , 
2032,15/04/2020 17:51,week 3,2,3,5,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.893537805,Male,72,North-East,2,0,Retired, , , , , 
2033,15/04/2020 17:51,week 3,3,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Rarely,Always,Always,Sometimes,Rarely,Frequently,Always,Frequently, , ,Always,Sometimes,Frequently,Always,Always,Frequently,Always,Rarely,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0.893537805,Male,70,North-East,4,0,Retired, , , , , 
2034,15/04/2020 17:52,week 3,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,0.932152673,Female,57,North-West,1,0, , , , , , 
