RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,region,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,i12_health_21_ph,i12_health_22_ph,i12_health_23_ph,m1_1,m1_2,m1_3,m1_4,m2,m3,m4_1,m4_2,m4_3,m4_4,m4_96,m4_99,m4_other,m5_1,m5_2,m6_1,m6_2,m6_3,m6_4,m6_5,m6_6,m6_7,m6_8,m6_96,m6_other,m7_1,m7_2,m7_3,m7_4,m7_5,m7_6,m7_8,m7_9,m7_10,m7_11,m8_1,m8_2,m8_3,m8_4,m8_5,m8_6,m8_7,m8_8,m8_96,m8_99,m8_other,m9_1,m9_2,m9_3,m9_4,m9_5,m9_6,m9_7,m10,m11,m12_1,m12_2,m12_3,m12_4,m12_5,m12_6,m12_7,m12_8,m12_96,m12_99,m12_other,m13_1,m13_2,m13_3,m13_4,m13_5,m13_6,m13_8,m13_9,m13_10,m13_11,v1,v2_1,v2_2,v2_3,v2_4,v2_5,v2_99,v3,v3_open,v4_1,v4_2,v4_3,v4_4,v4_5,v4_96,v4_99,v3_other
1766,29/04/2020 08:11,week 2,2,4,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Frequently,Always,Always,15,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.126513313,Female,28,Central Visayas,4,1,Full time employment,7,Several days,Several days,Not at all,Several days,Always,Always,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1767,29/04/2020 08:12,week 2,3,2,0, , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Frequently,Frequently,Always,Always,Frequently,Frequently, ,Always,Frequently,Always,Always,Always,Frequently,Sometimes,Frequently,Sometimes,Always,Frequently,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.558521117,Male,41,Central Luzon,4,1,Unemployed,6,Not at all,Not at all,Not at all,Several days,Frequently,Frequently,Rarely, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1768,29/04/2020 08:14,week 2,1,0,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Frequently,Always,Always,Always,Always,Frequently,Always,Sometimes,Frequently,Frequently,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not", , , , , , , ,1.802847866,Female,24,Caraga,2,1,Retired,5,Several days,Several days,Not at all,Several days,Always,Always,Sometimes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1769,29/04/2020 08:14,week 2,0,0,0, , , ,Yes,Somewhat easy,Not sure,Always,Always,Frequently,Always,Rarely,Frequently,Not at all,Sometimes, ,Always,Frequently,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Not at all,Rarely,Always,Frequently,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"No, I have not",Not sure,No,No,No,No,No,Yes, ,1.046683405,Male,20,Western Visayas,6,3,Unemployed,4,Several days,Prefer not to say,Not at all,Not at all,Rarely,Rarely,Rarely, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1770,29/04/2020 08:15,week 2,9,10,1, , , ,Not sure,Not sure,Not sure,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not", , , , , , , , ,1.484708024,Female,25,Central Luzon,8 or more,1,Full time employment,4,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Always,Always,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1771,29/04/2020 09:24,week 2,2,5,0, , , ,Yes,Very difficult,Very willing,Always,Always,Always,Always,Always,Always,Sometimes,Always,Not at all,Always,Not at all,Always,Always,Always,Always,Always,Not at all,Not at all,Sometimes,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.802459937,Female,22,Cordillera Administrative Region (CAR),3,1,Full time employment,6,Several days,Not at all,Several days,Several days,Sometimes,Always,Rarely, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1772,29/04/2020 08:16,week 2,2,0,0, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Frequently,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.819720503,Female,55,National Capital Region (NCR),3,1,Not working,8,Not at all,Not at all,Several days,Several days,Always,Always,Rarely, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1773,29/04/2020 08:19,week 2,7,6,11,No,Frequently,Yes,No,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Frequently,Frequently,Always,Frequently,Frequently,Always,Frequently,Frequently,Always,Frequently,Always,Frequently,Always,Sometimes,Frequently,Always,11,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested negative","Yes, and they have not received their results from the test yet",No,No,No,No,Yes,No,No,0.558521117,Male,44,National Capital Region (NCR),4,1,Full time employment,8,Several days,Not at all,Nearly every day,More than half the days,Always,Always,Frequently, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1774,29/04/2020 08:22,week 2,3,13,1, , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Frequently,Always,Always,Frequently,Not at all,Always,Not at all,Always,Frequently,Frequently,Frequently,Always,Sometimes,Always,Not at all,Rarely,Frequently,Sometimes,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"Yes, and I have not received my results from the test yet","No, they have not",No,No,No,No,No,Yes, ,0.729768566,Female,41,Central Luzon,4,2,Full time employment,4,Prefer not to say,Prefer not to say,Prefer not to say,Nearly every day,Sometimes,Frequently,Rarely, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1775,29/04/2020 08:23,week 2,2,3,3, , , ,Not sure,Somewhat difficult,Somewhat willing,Always,Always,Always,Always,Always,Frequently,Not at all,Always, ,Always,Always,Always,Always,Always,Always,Always,Rarely,Sometimes,Always,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.819720503,Female,57,Calabarzon,6,1,Not working,9,Several days,Not at all,Several days,Several days,Always,Always,Frequently, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1776,29/04/2020 08:27,week 2,5,7,0, , , ,Yes,Very difficult,Very willing,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.729768566,Female,44,Calabarzon,6,2,Part time employment,9,Several days,Not at all,Not at all,Several days,Always,Always,Rarely, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1777,29/04/2020 08:31,week 2,10,0,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Sometimes,Rarely,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.802459937,Female,22,Ilocos Region,8 or more,5 or more,Full time employment,6,Not at all,Not at all,Several days,Several days,Frequently,Always,Sometimes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1778,29/04/2020 08:32,week 2,4,0,1,Not sure,Not at all,No,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Rarely,Always,Always,Always,Always,Not at all,Not at all,Rarely,Always,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,0.729925628,Female,37,Zamboanga Peninsula,4,2,Retired,5,Prefer not to say,Prefer not to say,Several days,Several days,Not at all,Not at all,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1779,29/04/2020 08:33,week 2,2,0,0, , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Rarely,Frequently,Always,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.819720503,Female,57,National Capital Region (NCR),6,1,Part time employment,10,Not at all,Not at all,Not at all,Not at all,Always,Always,Frequently, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1780,29/04/2020 08:35,week 2,5,8,2, , , ,Yes,Somewhat difficult,Very willing,Always,Frequently,Always,Always,Always,Frequently,Always,Always,Frequently, ,Frequently,Frequently,Always,Always,Always,Sometimes,Not at all,Rarely,Sometimes,Always,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.136551083,Male,25,Davao Region,6,0,Full time employment,3,Several days,Prefer not to say,Several days,Nearly every day,Always,Always,Frequently, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1781,29/04/2020 08:39,week 2,6,2,0, , , ,No,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Sometimes,Frequently,Frequently,Always,Frequently,Frequently,Sometimes,Sometimes,Always,Always,7,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.571900572,Female,51,Cagayan Valley,7,4,Full time employment,5,Not at all,Several days,Not at all,Not at all,Sometimes,Always,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1782,29/04/2020 08:41,week 2,8,5,10,No,Always,Yes,No,Somewhat easy,Somewhat willing,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Always,Always,Frequently,Frequently,Always,Frequently,Always,Sometimes,Frequently,Frequently,Always,Always,Always,10,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",Yes,No,Yes,Yes,Yes,No,Yes,1.136306525,Male,32,National Capital Region (NCR),4,2,Full time employment,7,Not at all,Not at all,Several days,Not at all,Frequently,Always,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1783,29/04/2020 08:43,week 2,3,0,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Frequently,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,12, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.484708024,Female,26,National Capital Region (NCR),4,0,Part time employment,7,More than half the days,Several days,Not at all,Not at all,Always,Always,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1784,29/04/2020 08:47,week 2,3,2,0,No,Frequently,No,Yes,Somewhat difficult,Somewhat unwilling,Always,Frequently,Frequently,Always,Always,Frequently,Not at all,Always,Always, ,Sometimes,Frequently,Always,Always,Always,Frequently,Rarely,Rarely,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,0.819720503,Female,65,National Capital Region (NCR),4,0,Full time employment,6,Not at all,Not at all,Nearly every day,Nearly every day,Always,Frequently,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1785,29/04/2020 08:49,week 2,4,3,5,No,Always,Not sure,Not sure,Very easy,Very willing,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Rarely,Always,Not at all, ,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Always,Rarely,Always,1, , , , , , , , , , , , , ,__NA__,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",No,No,No,Yes,No,No,No,0.862165765,Male,26,Central Visayas,5,2,Not working,7,More than half the days,Several days,More than half the days,Several days,Rarely,Frequently,Sometimes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1786,29/04/2020 08:51,week 2,4,19,2, , , ,Yes,Somewhat difficult,Very willing,Frequently,Frequently,Always,Always,Always,Frequently,Always,Always, ,Always,Frequently,Rarely,Rarely,Rarely,Always,Always,Not at all,Not at all,Sometimes,Always,25, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.802459937,Female,19,Cagayan Valley,5,1,Part time employment,5,Several days,Not at all,Prefer not to say,Prefer not to say,Frequently,Always,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1787,29/04/2020 08:52,week 2,8,8,12,Yes,Sometimes,Yes,Yes,Somewhat easy,Very willing,Always,Always,Always,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,9,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","No, they have not",No,No,Yes,Yes,Yes,No,Yes,0.571900572,Female,45,National Capital Region (NCR),4,2,Full time employment,9,Not at all,Several days,Several days,Not at all,Always,Always,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1788,29/04/2020 08:54,week 2,1,2,0, , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Rarely,Always,Always,Always,Always,Always,Always,Always,Always,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.802847866,Female,20,Soccsksargen,4,1,Part time employment,8,Not at all,More than half the days,Several days,Nearly every day,Always,Always,Frequently, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1789,29/04/2020 08:55,week 2,0,0,0, , , ,No,Somewhat difficult,Neither willing nor unwilling,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Not at all,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.484708024,Female,31,Central Luzon,6,3,Full time employment,5,More than half the days,Not at all,Prefer not to say,Prefer not to say,Always,Always,Sometimes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1790,29/04/2020 08:57,week 2,3,10,1, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Rarely,Sometimes,Frequently,Always,10,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.437698417,Male,48,Calabarzon,4,1,Full time employment,9,Nearly every day,Not at all,Not at all,Several days,Always,Always,Frequently, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1791,29/04/2020 08:58,week 2,6,6,0, , , ,Not sure,Not sure,Not sure,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Not at all,Frequently,Always,Always,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes, , , , , , , , , ,1.802847866,Female,23,Davao Region,6,2,Full time employment,6,Nearly every day,Prefer not to say,Nearly every day,Nearly every day,Always,Always,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1792,29/04/2020 08:58,week 2,3,0,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Rarely,Frequently,Always,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.802459937,Female,20,National Capital Region (NCR),4,0,Part time employment,5,More than half the days,Nearly every day,More than half the days,Nearly every day,Frequently,Always,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1793,29/04/2020 08:59,week 2,5,0,1, , , ,Yes,Not sure,Not sure,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Not at all,Always,Always,Not at all,Not at all,Always,Always,6,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.136306525,Male,28,National Capital Region (NCR),4,3,Full time employment,5,Not at all,Prefer not to say,Prefer not to say,Prefer not to say,Always,Always,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1794,29/04/2020 09:05,week 2,2,0,1, , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Always,Always,Sometimes,Frequently,Always, , ,Always,Always,Always,Always,Frequently,Frequently,Sometimes,Frequently,Sometimes,Sometimes,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.802459937,Female,22,National Capital Region (NCR),3,0,Retired,5,Several days,Not at all,Several days,Several days,Frequently,Frequently,Sometimes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1795,29/04/2020 09:08,week 2,4,0,0, , , ,Yes,Very easy,Very willing,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Rarely,Always,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.572023658,Female,45,Zamboanga Peninsula,5,2,Full time employment,7,Several days,Several days,Not at all,Several days,Always,Always,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1796,29/04/2020 09:09,week 2,8,0,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Frequently,Always,Always,Always,Always, , ,Always,Frequently,Always,Always,Always,Frequently,Not at all,Frequently,Frequently,Sometimes,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.484708024,Female,33,National Capital Region (NCR),8 or more,0,Unemployed,6,Several days,Several days,Not at all,Several days,Rarely,Rarely,Rarely, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1797,29/04/2020 09:10,week 2,1,2,0, , , ,No,Not sure,Very unwilling,Always,Always,Always,Always,Always,Always,Not at all,Always, ,Always,Always,Frequently,Rarely,Sometimes,Always,Always,Always,Always,Frequently,Not at all,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.046683405,Male,20,Eastern Visayas,Don't know,4,Part time employment,1,More than half the days,Prefer not to say,Several days,Nearly every day,Frequently,Sometimes,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1798,29/04/2020 09:14,week 2,5,0,0, , , ,No,Somewhat difficult,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Frequently,Always,Always,Always,Always,Always,Sometimes,Frequently,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.819720503,Female,67,National Capital Region (NCR),7,1,Full time student,6,Not at all,Not at all,Not at all,Not at all,Always,Always,Always, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1799,29/04/2020 11:42,week 2,1,4,1, , , ,No,Very difficult,Neither willing nor unwilling,Always,Always,Frequently,Frequently,Frequently,Rarely,Frequently,Always,Frequently, ,Always,Always,Frequently,Frequently,Always,Always,Frequently,Frequently,Frequently,Frequently,6,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.136306525,Male,33,Calabarzon,2,0,Full time employment,4,Several days,Not at all,Several days,Not at all,Frequently,Always,Frequently, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
