RecordNo,endtime,qweek,gender,region,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,age,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,WCRex2,WCRV_4,CORE_B2_4,WCRex1,i12_health_21,i12_health_22,i12_health_23,i12_health_24,i12_health_25,r1_1,r1_2,r1_3,r1_4,r1_5,r1_6,r1_7
1762,03/05/2020 11:15,week 2,Male,Chūbu,4,10,6, , , ,Not sure,Not sure,Not sure,Always,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes, , ,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes, , , , , , , , , ,0.885274434,30,Prefer not to say,0,Other,6,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Don't know,Don't know,Don't know, , , , , , , , , , , , , 
1763,03/05/2020 11:16,week 2,Female,Kansai,9,5,1, , , ,Yes,Neither easy nor difficult,Somewhat unwilling,Rarely,Sometimes,Frequently,Always,Always,Sometimes,Always,Always,Rarely,Always,Always,Sometimes,Always,Always,Always,Sometimes,Always,Always,Sometimes,Frequently,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.015664659,48,5,1,Part time employment,6,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Not very much confidence,Don't know,Somewhat less happy now, , , , , , , , , , , , , 
1764,03/05/2020 11:16,week 2,Female,Chūbu,5,1000,1, , , ,Yes,Somewhat difficult,Very willing,Always,Always,Always,Always,Always,Not at all,Frequently,Always,Not at all, ,Sometimes,Always,Always,Always,Rarely,Not at all,Not at all,Always,Sometimes,Rarely,8,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.015664659,45,6,0,Full time employment,8,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,A lot of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1765,03/05/2020 11:16,week 2,Male,Kansai,1,1,2, , , ,No,Neither easy nor difficult,Somewhat willing,Frequently,Frequently,Not at all,Frequently,Frequently,Frequently,Frequently,Rarely,Rarely, ,Sometimes,Frequently,Always,Always,Frequently,Not at all,Always,Sometimes,Rarely,Rarely,2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.992099806,61,1,0,Full time employment,4,Several days,Not at all,Several days,Several days,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),Somewhat more happy now, , , , , , , , , , , , , 
1766,03/05/2020 11:17,week 2,Female,Kantō,2,3,0, , , ,No,Somewhat easy,Very willing,Always,Frequently,Always,Always,Frequently,Frequently,Sometimes,Always,Sometimes, ,Sometimes,Always,Always,Always,Frequently,Frequently,Always,Always,Always,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.015664659,53,3,0,Full time employment,5,Several days,Several days,Several days,Several days,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),Somewhat less happy now, , , , , , , , , , , , , 
1767,03/05/2020 11:17,week 2,Male,Kantō,2,2,1, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Rarely,Always,Always,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Always,Always,Always,Frequently,Rarely,Sometimes,Always,Frequently,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.885274434,33,2,1,Full time employment,6,Several days,Several days,Several days,Several days,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1768,03/05/2020 11:17,week 2,Male,Chūbu,2,2,1, , , ,No,Neither easy nor difficult,Somewhat willing,Sometimes,Always,Not at all,Frequently,Always,Sometimes,Sometimes,Frequently,Rarely, ,Sometimes,Rarely,Frequently,Frequently,Always,Sometimes,Always,Frequently,Frequently,Frequently,4,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.992099806,57,4,0,Full time employment,7,More than half the days,Several days,More than half the days,Nearly every day,A fair amount of confidence,Don't know,About the same, , , , , , , , , , , , , 
1769,03/05/2020 11:18,week 2,Male,Kantō,1,0,1, , , ,Not sure,Very difficult,Very willing,Always,Frequently,Not at all,Always,Always,Frequently,Sometimes,Sometimes,Rarely, ,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Rarely,Rarely,4,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.992099806,59,2,0,Full time employment,2,Several days,Several days,Several days,Several days,Not very much confidence,I am very scared that I will contract the Coronavirus (COVID-19),Much less happy now, , , , , , , , , , , , , 
1770,03/05/2020 11:18,week 2,Male,Kantō,3,1,0, , , ,No,Somewhat difficult,Neither willing nor unwilling,Rarely,Sometimes,Not at all,Always,Sometimes,Frequently,Always,Sometimes,Sometimes, ,Frequently,Sometimes,Sometimes,Always,Always,Sometimes,Not at all,Rarely,Rarely,Sometimes,3,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.992099806,58,3,0,Full time employment,7,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1771,03/05/2020 11:18,week 2,Female,Kyūshū,1,0,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.015664659,46,2,0,Full time employment,3,Several days,Several days,Several days,Several days,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),Much more happy now, , , , , , , , , , , , , 
1772,03/05/2020 11:18,week 2,Male,Kantō,3,2,3, , , ,Not sure,Not sure,Not sure,Rarely,Always,Rarely,Rarely,Frequently,Sometimes,Sometimes,Sometimes,Not at all, ,Rarely,Always,Frequently,Frequently,Frequently,Rarely,Not at all,Frequently,Sometimes,Rarely,3,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.906659068,40,Prefer not to say,Prefer not to say,Full time employment,4,Prefer not to say,More than half the days,More than half the days,Prefer not to say,Don't know,Not applicable - I have already contracted Coronavirus (COVID-19),Don't know, , , , , , , , , , , , , 
1773,03/05/2020 11:22,week 2,Male,Tōhoku,3,1,2, , , ,No,Somewhat easy,Somewhat willing,Frequently,Frequently,Not at all,Frequently,Not at all,Rarely,Rarely,Frequently, ,Not at all,Not at all,Frequently,Frequently,Frequently,Frequently,Rarely,Not at all,Rarely,Sometimes,Rarely,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.992099806,67,2,2,Unemployed,6,More than half the days,Several days,Several days,Several days,Not very much confidence,I am not very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1774,03/05/2020 11:22,week 2,Female,Chūbu,0,3,1, , , ,Yes,Very difficult,Very willing,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always, , ,Frequently,Frequently,Always,Always,Frequently,Frequently,Always,Always,Frequently,Sometimes,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.015664659,48,1,0,Other,1,Several days,Several days,Several days,Several days,Not very much confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),Much less happy now, , , , , , , , , , , , , 
1775,03/05/2020 11:23,week 2,Male,Chūgoku,0,0,1, , , ,Yes,Somewhat difficult,Somewhat willing,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Rarely,Frequently,Rarely,Always, ,Sometimes,Not at all,Sometimes,Not at all,Frequently,Rarely,Sometimes,Rarely,Rarely,Sometimes,1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.885274434,32,Prefer not to say,0,Full time employment,1,More than half the days,Nearly every day,Nearly every day,Nearly every day,No confidence at all,I am not very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1776,03/05/2020 11:25,week 2,Male,Chūbu,4,30,0, , , ,No,Neither easy nor difficult,Very willing,Frequently,Rarely,Not at all,Sometimes,Always,Sometimes,Not at all,Always, , ,Not at all,Rarely,Rarely,Always,Frequently,Sometimes,Not at all,Not at all,Rarely,Sometimes,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.992099806,61,2,0,Retired,6,Several days,Several days,Several days,Several days,No confidence at all,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1777,03/05/2020 11:26,week 2,Male,Kantō,2,2,0, , , ,No,Very difficult,Very unwilling,Always,Always,Not at all,Always,Always,Rarely,Sometimes,Always,Rarely, ,Frequently,Rarely,Rarely,Always,Frequently,Not at all,Not at all,Not at all,Rarely,Sometimes,7,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.992099806,66,3,0,Full time employment,6,Several days,Several days,More than half the days,Several days,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1778,03/05/2020 11:26,week 2,Male,Kyūshū,1,1,2,No,Frequently,No,Yes,Neither easy nor difficult,Very willing,Always,Sometimes,Frequently,Always,Always,Frequently,Always,Always,Frequently, ,Frequently,Frequently,Always,Always,Always,Frequently,Frequently,Always,Sometimes,Sometimes,5,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,0.992099806,64,3,0,Full time employment,6,Several days,Several days,Several days,Several days,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1779,03/05/2020 11:26,week 2,Female,Kantō,1,4,1, , , ,No,Very easy,Very willing,Always,Always,Not at all,Always,Always,Rarely,Always,Always,Not at all, ,Frequently,Frequently,Always,Always,Frequently,Rarely,Not at all,Not at all,Frequently,Always,5,No,No,No,No,No,No,No,No,No,No,Yes,No,No,仕事,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.019348507,40,2,0,Full time employment,3,Several days,Several days,Several days,Several days,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1780,03/05/2020 11:28,week 2,Male,Tōhoku,3,10,2,Yes,Frequently,Yes,Yes,Somewhat difficult,Somewhat unwilling,Sometimes,Always,Sometimes,Always,Always,Always,Frequently,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Sometimes,Rarely,Frequently,Always,Always,3,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"Yes, and I tested negative","Yes, and they tested negative",No,Yes,No,No,No,No,Yes,0.885274434,32,4,2,Full time employment,4,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not very much confidence,I am not very scared that I will contract the Coronavirus (COVID-19),Much less happy now, , , , , , , , , , , , , 
1781,03/05/2020 11:28,week 2,Male,Kantō,7,4,1, , , ,Yes,Neither easy nor difficult,Very willing,Always,Frequently,Sometimes,Frequently,Always,Frequently,Frequently,Frequently,Frequently, ,Frequently,Frequently,Always,Always,Always,Frequently,Not at all,Always,Sometimes,Always,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.992099806,71,3,0,Full time employment,8,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1782,03/05/2020 11:28,week 2,Male,Kantō,50,29,6, , , ,Yes,Very easy,Somewhat unwilling,Frequently,Not at all,Always,Not at all,Not at all,Frequently,Frequently,Rarely,Not at all,Sometimes,Sometimes,Rarely,Always,Not at all,Rarely,Sometimes,Rarely,Always,Not at all,Sometimes,1,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,__NA__,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Yes, and I have not received my results from the test yet","No, they have not",No,No,No,No,No,Yes, ,0.885274434,27,5,3,Full time employment,6,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not very much confidence,I am not very scared that I will contract the Coronavirus (COVID-19),Somewhat less happy now, , , , , , , , , , , , , 
1783,03/05/2020 11:29,week 2,Female,Chūgoku,4,10,1, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Frequently,Frequently,Always,Sometimes,Frequently,Always,Sometimes,Frequently,Always,Always,Always,Frequently,Rarely,Sometimes,Sometimes,5,No,No,No,No,No,No,No,No,No,No,Yes,No,No,会社,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.019348507,44,5,3,Full time employment,8,Several days,Not at all,Not at all,Not at all,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1784,03/05/2020 11:30,week 2,Male,Kansai,4,2,4, , , ,Yes,Somewhat easy,Somewhat willing,Rarely,Always,Sometimes,Frequently,Always,Frequently,Rarely,Frequently,Sometimes, ,Not at all,Always,Rarely,Not at all,Frequently,Rarely,Rarely,Always,Sometimes,Always,7,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.885274434,32,5,0,Full time employment,4,More than half the days,More than half the days,More than half the days,Not at all,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),Somewhat less happy now, , , , , , , , , , , , , 
1785,03/05/2020 11:31,week 2,Male,Chūbu,3,3,0, , , ,Not sure,Somewhat easy,Very willing,Always,Rarely,Not at all,Always,Not at all,Frequently,Always,Always,Always, ,Rarely,Sometimes,Always,Always,Always,Sometimes,Not at all,Not at all,Not at all,Rarely,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.992099806,57,4,0,Full time employment,7,Several days,Several days,Several days,Several days,A fair amount of confidence,I am not very scared that I will contract the Coronavirus (COVID-19),Somewhat more happy now, , , , , , , , , , , , , 
1786,03/05/2020 11:31,week 2,Female,Kyūshū,5,10,2, , , ,Not sure,Very difficult,Somewhat willing,Always,Always,Sometimes,Always,Always,Frequently,Sometimes,Always,Rarely,Always,Frequently,Not at all,Sometimes,Always,Always,Frequently,Not at all,Rarely,Rarely,Frequently,10,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.019348507,36,5,3,Part time employment,5,Prefer not to say,Prefer not to say,Several days,Several days,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1787,03/05/2020 11:32,week 2,Female,Kantō,2,40,1, , , ,Not sure,Somewhat easy,Very willing,Always,Always,Frequently,Always,Always,Always,Frequently,Always, , ,Not at all,Not at all,Always,Always,Frequently,Frequently,Not at all,Always,Rarely,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.115408749,65,3,0,Unemployed,7,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Not very much confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1788,03/05/2020 11:33,week 2,Male,Chūgoku,0,0,1, , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Sometimes,Always,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Always,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Always,Rarely,Rarely,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.992099806,69,2,2,Full time employment,1,Several days,Prefer not to say,Prefer not to say,Prefer not to say,Not very much confidence,I am not very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1789,03/05/2020 11:33,week 2,Female,Kantō,1,30,1, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Frequently,Always,Always,Frequently,Always,Always,Sometimes, ,Always,Always,Always,Always,Frequently,Frequently,Not at all,Frequently,Frequently,Frequently,6,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.019348507,44,2,0,Part time employment,8,Several days,More than half the days,Several days,More than half the days,No confidence at all,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1790,03/05/2020 11:33,week 2,Female,Kantō,0,0,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always, , ,Always,Frequently,Always,Always,Always,Frequently,Always,Always,Always,Frequently,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.035782975,21,1,Prefer not to say,Unemployed,5,Several days,Several days,Several days,Several days,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1791,03/05/2020 11:34,week 2,Female,Chūbu,1,50,1, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Rarely,Sometimes,Always,Not at all,Sometimes,Not at all,Always,Frequently,Frequently,Frequently,Always,Sometimes,Not at all,Always,Always,Sometimes,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.115408749,57,2,1,Full time employment,8,Several days,Several days,Nearly every day,More than half the days,Not very much confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1792,03/05/2020 11:34,week 2,Male,Hokkaidō,11,10,3, , , ,Yes,Somewhat difficult,Somewhat willing,Always,Always,Sometimes,Always,Always,Rarely,Always,Always, , ,Frequently,Frequently,Always,Always,Always,Frequently,Always,Rarely,Always,Frequently,8, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.992099806,70,2,0,Retired,8,Prefer not to say,Prefer not to say,Several days,Prefer not to say,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1793,03/05/2020 11:34,week 2,Female,Hokkaidō,1,1,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Always,Rarely,Frequently,Always,1,No,No,No,No,No,No,No,No,No,No,Yes,No,No,事務,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.115408749,57,2,0,Full time employment,5,Several days,Several days,Several days,Several days,No confidence at all,I am very scared that I will contract the Coronavirus (COVID-19),Much less happy now, , , , , , , , , , , , , 
1794,03/05/2020 11:35,week 2,Male,Kantō,2,0,1, , , ,No,Somewhat difficult,Somewhat unwilling,Frequently,Frequently,Rarely,Rarely,Sometimes,Always,Always,Always,Sometimes, ,Rarely,Always,Always,Always,Always,Rarely,Always,Frequently,Rarely,Rarely,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.885274434,32,1,0,Full time employment,7,Several days,Several days,Several days,Several days,No confidence at all,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1795,03/05/2020 11:36,week 2,Female,Chūbu,4,0,1, , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Always,Always,Not at all,Not at all,Not at all,Not at all,Always,Always, , ,Always,Sometimes,Sometimes,Always,Sometimes,Rarely,Not at all,Not at all,Rarely,Always,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.035782975,21,4,0,Other,0,Prefer not to say,Nearly every day,Nearly every day,Nearly every day,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1796,03/05/2020 11:36,week 2,Female,Kantō,2,0,0, , , ,No,Somewhat difficult,Somewhat willing,Always,Always,Always,Frequently,Always,Always,Always,Frequently, , ,Always,Always,Always,Always,Always,Frequently,Frequently,Always,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.035782975,22,3,0,Full time student,8,Not at all,Not at all,Not at all,Not at all,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),Somewhat more happy now, , , , , , , , , , , , , 
1797,03/05/2020 11:38,week 2,Female,Hokkaidō,0,0,0, , , ,Not sure,Neither easy nor difficult,Neither willing nor unwilling,Frequently,Always,Not at all,Always,Always,Always,Frequently,Always, , ,Always,Always,Always,Always,Always,Sometimes,Always,Frequently,Always,Always,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.035782975,21,1,0,Full time student,3,More than half the days,More than half the days,More than half the days,More than half the days,Not very much confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1798,03/05/2020 11:39,week 2,Female,Kantō,4,0,2, , , ,Not sure,Not sure,Not sure,Always,Always,Always,Always,Always,Always,Always,Frequently,Rarely, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,4,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not",Not sure, , , , , , , ,1.019348507,37,4,0,Part time employment,10,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Don't know,Don't know,Don't know, , , , , , , , , , , , , 
1799,03/05/2020 11:40,week 2,Male,Kantō,3,1,1, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Rarely,Always, , ,Not at all,Not at all,Always,Always,Always,Always,Not at all,Not at all,Always,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.992099806,72,2,0,Not working,8,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Not very much confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
1800,03/05/2020 11:40,week 2,Female,Kantō,1,20,1, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Sometimes,Frequently, ,Frequently,Frequently,Always,Always,Frequently,Sometimes,Not at all,Not at all,Frequently,Frequently,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,役所,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.035782975,24,2,0,Full time employment,8,Several days,Several days,Several days,Several days,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),Somewhat less happy now, , , , , , , , , , , , , 
1801,03/05/2020 11:40,week 2,Male,Hokkaidō,0,0,1, , , ,No,Neither easy nor difficult,Somewhat willing,Frequently,Frequently,Not at all,Frequently,Rarely,Frequently,Frequently,Frequently, , ,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Not at all,Rarely,Frequently,Frequently,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.992099806,70,2,0,Unemployed,6,Several days,Several days,Several days,Several days,Not very much confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same, , , , , , , , , , , , , 
