RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,household_children,weight,gender,age,city,household_size,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
212,03/04/2020 11:38,week 1,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Frequently,Rarely,Frequently,Always,Always,Sometimes,Always,Always, ,Always,Always,Sometimes,Always,Always,Always,Sometimes,Always,Not at all,Rarely,Always,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,2,1.055401329,Female,20,Maoming,7,No,No,Yes,No,No,No,No, , , , , 
213,03/04/2020 11:38,week 1,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Always,Sometimes,Sometimes,Always,Always,Frequently,Always,Frequently, , ,Always,Always,Always,Always,Always,Frequently,Always,Not at all,Rarely,Frequently,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.984313576,Male,21,Dalian,4,No,No,Yes,No,No,No,No, , , , , 
214,03/04/2020 11:20,week 1,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Somewhat willing,Always,Sometimes,Always,Always,Always,Always,Always,Always, ,Always,Sometimes,Always,Always,Always,Frequently,Frequently,Always,Sometimes,Frequently,Always,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.100556615,Female,23,Fuzhou -  Fujian,4,No,No,No,No,Yes,No,No, , , , , 
215,03/04/2020 11:50,week 1,3,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Not at all,Always,Always,Always,Always,Always,Always,Not at all, ,Frequently,Always,Always,Always,Always,Frequently,Not at all,Not at all,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.877187523,Female,24,Xiangyang,4,Yes,No,No,No,No,No,No, , , , , 
216,03/04/2020 11:50,week 1,2,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Not at all,Always,Always,10,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.015377561,Female,32,Wenzhou,3,Yes,No,No,No,No,No,No, , , , , 
217,03/04/2020 11:50,week 1,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Rarely,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.963663852,Female,22,Jinan,3,No,No,Yes,No,No,No,No, , , , , 
218,03/04/2020 11:50,week 1,5,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Not at all,Not at all,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all, ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Not at all,Not at all,Not at all,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to say,0.984313576,Male,21,Shijiazhuang,Prefer not to say,No,Yes,No,No,No,No,No, , , , , 
219,03/04/2020 11:50,week 1,3,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Frequently,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,0.984399833,Female,33,Qingdao,4,Yes,No,No,No,No,No,No, , , , , 
220,03/04/2020 11:51,week 1,5,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Sometimes,Always,Always,Frequently,Always,Always, ,Always,Frequently,Always,Always,Always,Always,Frequently,Always,Rarely,Always,Frequently,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.963663852,Female,19,Shenyang,5,No,No,Yes,No,No,No,No, , , , , 
221,03/04/2020 11:51,week 1,0,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Always,Rarely,Frequently,Rarely,Always,Always,Always,Always,Always,Always,Always,Always,Rarely,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,1.00901741,Female,26,Guangzhou,7,Yes,No,No,No,No,No,No, , , , , 
222,03/04/2020 11:52,week 1,5,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.01528859,Male,18,Jiaxing,6,No,No,Yes,No,No,No,No, , , , , 
223,03/04/2020 11:52,week 1,9,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Very willing,Always,Sometimes,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Rarely,Always,Always,Always,1, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.100556615,Female,20,Fuzhou -  Fujian,8 or more,No,No,Yes,No,No,No,No, , , , , 
224,03/04/2020 11:53,week 1,2,10,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Rarely,Always,Always,Always,Always,Always, , ,Always,Frequently,Always,Always,Always,Always,Always,Not at all,Always,Always,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.934318835,Male,23,Zhengzhou,3,No,No,Yes,No,No,No,No, , , , , 
225,03/04/2020 11:53,week 1,5,50,2,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Frequently,No,No,No,Somewhat easy,Somewhat willing,Always,Frequently,Frequently,Always,Always,Sometimes,Sometimes,Frequently, ,Always,Always,Frequently,Always,Always,Frequently,Rarely,Rarely,Sometimes,Sometimes,Sometimes,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.036516812,Female,21,Nanjing,4,No,No,Yes,No,No,No,No, , , , , 
226,03/04/2020 11:53,week 1,1,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Sometimes,Sometimes,Always,Always,Sometimes,Always,Sometimes, , ,Frequently,Always,Always,Always,Frequently,Sometimes,Always,Rarely,Sometimes,Frequently,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.924125208,Female,18,Qiqihar,3,No,No,Yes,No,No,No,No, , , , , 
227,03/04/2020 11:53,week 1,2,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Sometimes,Sometimes,Frequently,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.164338097,Male,47,Shenzhen,3,No,No,No,No,Yes,No,No, , , , , 
228,03/04/2020 11:54,week 1,4,4,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat easy,Somewhat willing,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all, , ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.943927683,Male,22,Xingtai,3,No,No,Yes,No,No,No,No, , , , , 
229,03/04/2020 11:54,week 1,4,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Sometimes,Always,Always,Sometimes,Always,Frequently,Sometimes,Not at all,Sometimes,Always,Always,Always,Frequently,Rarely,Not at all,Sometimes,Always,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.944010402,Female,29,Baoding,6,Yes,Yes,No,No,No,No,No, , , , , 
230,03/04/2020 11:55,week 1,2,10,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Frequently,Not at all, ,Frequently,Sometimes,Frequently,Always,Frequently,Sometimes,Always,Not at all,Rarely,Frequently,4,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.877187523,Female,23,Tongling,3,Yes,No,No,No,No,No,No, , , , , 
231,03/04/2020 11:55,week 1,3,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Frequently,Not at all,Frequently, ,Frequently,Frequently,Always,Always,Always,Always,Sometimes,Always,Frequently,Frequently,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.914717941,Female,18,Hefei,4,No,No,Yes,No,No,No,No, , , , , 
232,03/04/2020 11:55,week 1,3,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Frequently,Frequently,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Always,Always,Not at all,Frequently,Sometimes,Always,3,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,1.050433205,Male,37,Suzhou -  Jiangsu,4,Yes,No,No,No,No,No,No, , , , , 
233,03/04/2020 11:55,week 1,2,3,2,"No, I have not",Not sure,No,Yes,No,No,No,No,No,Always,Yes,No,No,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,3,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.970667589,Male,34,Shanghai,3,Yes,No,No,No,No,No,No, , , , , 
234,03/04/2020 11:55,week 1,2,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat easy,Neither willing nor unwilling,Always,Sometimes,Frequently,Always,Sometimes,Frequently,Sometimes,Frequently, , ,Sometimes,Rarely,Sometimes,Frequently,Frequently,Frequently,Not at all,Sometimes,Sometimes,Sometimes,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.135159088,Female,55,Shanghai,3,No,No,No,Yes,No,No,No, , , , , 
235,03/04/2020 11:56,week 1,3,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Sometimes,Frequently, ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,7,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.954423373,Male,27,Chongqing,4,Yes,No,No,No,No,No,No, , , , , 
236,03/04/2020 11:56,week 1,4,6,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Not at all,Frequently,Always,Always,Always,Always,Not at all,Not at all, ,Frequently,Sometimes,Sometimes,Not at all,Always,Always,Not at all,Frequently,Not at all,Rarely,3,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.902442929,Male,26,Beijing,4,Yes,No,No,No,No,No,No, , , , , 
237,03/04/2020 11:56,week 1,2,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always, ,Always,Frequently,Always,Always,Always,Sometimes,Always,Sometimes,Sometimes,Always,4,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.934318835,Male,23,Zhengzhou,3,Yes,No,No,No,No,No,No, , , , , 
238,03/04/2020 11:56,week 1,2,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Frequently,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.915263861,Male,30,Wuhu,2,No,No,No,No,Yes,No,No, , , , , 
239,03/04/2020 11:56,week 1,3,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,0.997021457,Female,35,Jinan,4,Yes,No,No,No,No,No,No, , , , , 
240,03/04/2020 11:57,week 1,3,4,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Frequently,Frequently,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Sometimes,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.124139724,Male,21,Nanning,5,No,No,Yes,No,No,No,No, , , , , 
241,03/04/2020 11:57,week 1,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.895984202,Male,22,Sanmenxia,4,No,No,Yes,No,No,No,Yes, , , , , 
242,03/04/2020 11:57,week 1,2,0,1,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, , , , ,No,Very difficult,Neither willing nor unwilling,Always,Frequently,Always,Frequently,Sometimes,Sometimes,Frequently,Frequently,Always,Frequently,Frequently,Always,Frequently,Sometimes,Always,Frequently,Frequently,Always,Sometimes,Rarely,2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,1,0.883510754,Female,31,Beijing,3,Yes,No,No,No,No,No,No, , , , , 
243,03/04/2020 11:59,week 1,4,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Somewhat willing,Always,Always,Not at all,Always,Always,Always,Always,Always, , ,Frequently,Always,Frequently,Always,Always,Always,Not at all,Not at all,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.934318835,Male,20,Hefei,4,No,No,Yes,No,No,No,No, , , , , 
244,03/04/2020 11:59,week 1,4,7,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Frequently,Frequently,Frequently,Not at all,Frequently,Sometimes,Always,Sometimes,Rarely,Frequently,Sometimes,Frequently,Always,Frequently,Sometimes,Not at all,Rarely,Always,Frequently,9,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.00901741,Female,25,Shenzhen,5,Yes,No,No,No,No,No,No, , , , , 
245,03/04/2020 11:59,week 1,4,13,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very difficult,Very willing,Always,Always,Rarely,Always,Always,Not at all,Always,Not at all,Not at all,Always,Always,Not at all,Rarely,Rarely,Frequently,Sometimes,Not at all,Not at all,Frequently,Sometimes,3,No,No,No,No,No,No,Yes,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.019511874,Male,47,Beijing,5,Yes,No,No,No,No,No,No, , , , , 
246,03/04/2020 11:59,week 1,4,35,4,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat easy,Somewhat willing,Frequently,Frequently,Frequently,Always,Frequently,Sometimes,Frequently,Always,Always,Always,Sometimes,Frequently,Frequently,Frequently,Always,Sometimes,Sometimes,Sometimes,Frequently,Always,6,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,__NA__,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,2,0.970667589,Male,30,Shanghai,6,Yes,No,No,No,No,No,No, , , , , 
247,03/04/2020 12:00,week 1,2,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very difficult,Somewhat willing,Always,Always,Rarely,Frequently,Always,Frequently,Always,Always,Frequently,Always,Sometimes,Sometimes,Sometimes,Always,Frequently,Sometimes,Sometimes,Not at all,Rarely,Sometimes,3,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,0.905736189,Female,33,Bijie,4,Yes,No,No,No,No,No,No, , , , , 
248,03/04/2020 12:01,week 1,3,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Neither willing nor unwilling,Always,Sometimes,Frequently,Always,Always,Sometimes,Frequently,Rarely,Frequently,Always,Always,Always,Always,Always,Frequently,Sometimes,Sometimes,Not at all,Sometimes,Sometimes,4,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.018385978,Male,39,Dalian,4,Yes,No,No,No,No,No,No, , , , , 
249,03/04/2020 12:01,week 1,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Sometimes,Always,Always,Always,Always,Rarely,Always,Frequently, ,Always,Always,Always,Always,Always,Always,Not at all,Rarely,Always,Always,6,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.864899961,Female,21,Beijing,3,Yes,No,No,No,No,No,No, , , , , 
250,03/04/2020 12:02,week 1,4,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Not at all,Not at all,Not at all,Not at all,Always,Sometimes,Frequently,Always,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,0.896062718,Female,33,Jinzhong,4,No,No,No,No,No,Yes,No, , , , , 
251,03/04/2020 12:02,week 1,3,5,1,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Frequently,Always,Always,Always,Frequently,Always,Always,Frequently, ,Frequently,Frequently,Always,Always,Frequently,Frequently,Rarely,Frequently,Frequently,Frequently,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.96666065,Male,39,Wuhan,2,Yes,No,No,No,No,No,No, , , , , 
252,03/04/2020 12:03,week 1,4,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Frequently,Frequently,Always,Frequently,Sometimes,Always,Sometimes,Always, ,Frequently,Sometimes,Always,Always,Always,Sometimes,Frequently,Sometimes,Frequently,Always,2,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.905656824,Male,22,Liupanshui,5,No,Yes,Yes,No,No,No,No, , , , , 
253,03/04/2020 12:03,week 1,5,100,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Very easy,Very willing,Always,Always,Always,Always,Not at all,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Rarely,Always,Always,2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,??,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,0.934400711,Female,30,Changsha,5,Yes,No,No,No,No,No,No, , , , , 
254,03/04/2020 12:04,week 1,0,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Frequently,Frequently,Frequently,Always, ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Frequently,Always,2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,???,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.98776287,Female,24,Guangzhou,6,Yes,No,No,No,No,No,No, , , , , 
255,03/04/2020 12:05,week 1,3,2,20,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Neither easy nor difficult,Very willing,Always,Sometimes,Not at all,Always,Always,Rarely,Always,Always,Always, ,Always,Not at all,Not at all,Not at all,Always,Sometimes,Not at all,Not at all,Not at all,Sometimes,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.030638985,Male,31,Shenzhen,4,Yes,No,No,No,No,No,No, , , , , 
256,03/04/2020 12:05,week 1,3,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.954423373,Male,26,Zhengzhou,3,Yes,No,No,No,No,No,No, , , , , 
257,03/04/2020 12:06,week 1,4,5,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.924125208,Female,20,Jixi,5,No,No,Yes,No,No,No,No, , , , , 
258,03/04/2020 12:07,week 1,3,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Rarely,Always,Always,Always,Always,Always,Rarely,Always,Always,Always,Always,Frequently,Rarely,Sometimes,Always,Always,5,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,__NA__, , , , , , , , , , , , , , , ,1,1.021954672,Female,35,Shenzhen,5,No,Yes,No,No,No,No,No, , , , , 
259,03/04/2020 12:07,week 1,1,15,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Very willing,Always,Sometimes,Sometimes,Always,Always,Sometimes,Always,Always,Sometimes, ,Always,Frequently,Always,Always,Sometimes,Always,Not at all,Sometimes,Sometimes,Sometimes,0,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to say,1.055401329,Female,23,Quanzhou,2,Yes,Yes,No,No,No,No,No, , , , , 
260,03/04/2020 12:08,week 1,4,1,1,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, , , , ,No,Very easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Frequently,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Frequently,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.984399833,Female,26,Shijiazhuang,5,Yes,No,No,No,No,No,No, , , , , 
261,03/04/2020 12:08,week 1,2,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very difficult,Very unwilling,Always,Frequently,Frequently,Always,Always,Sometimes,Always,Always,Sometimes,Always,Always,Always,Always,Always,Frequently,Frequently,Not at all,Not at all,Frequently,Frequently,3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.078235454,Male,45,Chengdu,3,Yes,No,No,No,No,No,No, , , , , 
262,03/04/2020 12:08,week 1,2,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Very willing,Sometimes,Frequently,Always,Always,Frequently,Sometimes,Rarely,Rarely,Rarely, ,Sometimes,Sometimes,Always,Always,Frequently,Sometimes,Always,Not at all,Frequently,Sometimes,3,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.914717941,Female,22,Chengdu,3,Yes,No,No,No,No,No,No, , , , , 
263,03/04/2020 12:09,week 1,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Neither easy nor difficult,Neither willing nor unwilling,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Rarely,Frequently,Frequently, ,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Rarely,Frequently,Frequently,Frequently,3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.902442929,Male,30,Beijing,2,Yes,No,No,No,No,No,No, , , , , 
